,Temperature,Cool Rate,Final Score,Compute Time
212,5750.0,0.96,4176,63.51839208602905
213,5750.0,0.965,4368,65.89758586883545
214,5750.0,0.97,4723,69.39091300964355
215,5750.0,0.975,5112,68.51998710632324
216,5750.0,0.98,4092,62.25610089302063
217,5750.0,0.985,4395,60.673908948898315
218,5750.0,0.99,4113,56.33146905899048
219,5750.0,0.995,6309,80.19726490974426
220,6000.0,0.95,5759,75.52673316001892
221,6000.0,0.955,3957,62.72210121154785
222,6000.0,0.96,4761,65.7886872291565
223,6000.0,0.965,4823,66.6695249080658
224,6000.0,0.97,6008,77.82287001609802
225,6000.0,0.975,4109,56.82830500602722
226,6000.0,0.98,3705,59.36739706993103
227,6000.0,0.985,5065,74.16376900672913
228,6000.0,0.99,4996,68.95185685157776
229,6000.0,0.995,3727,54.19228529930115
230,6250.0,0.95,4845,66.27590012550354
231,6250.0,0.955,4946,68.66519284248352
232,6250.0,0.96,4174,59.792556047439575
233,6250.0,0.965,4564,63.891489028930664
234,6250.0,0.97,5618,82.92000985145569
235,6250.0,0.975,6619,80.18404912948608
236,6250.0,0.98,5066,68.13190126419067
237,6250.0,0.985,5167,63.28871202468872
238,6250.0,0.99,5754,74.97798180580139
239,6250.0,0.995,4459,59.09977388381958
240,6500.0,0.95,4287,65.54846715927124
241,6500.0,0.955,5243,69.52885794639587
242,6500.0,0.96,5499,68.79300618171692
243,6500.0,0.965,4062,60.928784132003784
244,6500.0,0.97,4166,60.28509593009949
245,6500.0,0.975,4560,65.70714521408081
246,6500.0,0.98,4823,68.26595401763916
247,6500.0,0.985,3406,50.75807809829712
248,6500.0,0.99,4171,62.342219829559326
249,6500.0,0.995,4085,60.50332427024841
250,6750.0,0.95,5323,78.11712288856506
251,6750.0,0.955,3854,59.9871289730072
252,6750.0,0.96,3762,54.97928810119629
253,6750.0,0.965,4330,63.94610095024109
254,6750.0,0.97,6000,78.28223395347595
255,6750.0,0.975,5570,70.55746793746948
256,6750.0,0.98,5455,79.11803579330444
257,6750.0,0.985,5689,75.52426409721375
258,6750.0,0.99,3452,48.87809991836548
259,6750.0,0.995,5214,72.21509313583374
260,7000.0,0.95,3934,54.667927980422974
261,7000.0,0.955,4766,66.73059701919556
262,7000.0,0.96,4523,68.04736113548279
263,7000.0,0.965,5564,74.14703011512756
264,7000.0,0.97,4608,60.64252185821533
265,7000.0,0.975,4909,63.62952971458435
266,7000.0,0.98,3396,56.1122031211853
267,7000.0,0.985,4959,70.68077492713928
268,7000.0,0.99,4754,62.83816909790039
269,7000.0,0.995,3782,51.52004790306091
270,7250.0,0.95,3844,57.6390438079834
271,7250.0,0.955,4217,54.95186519622803
272,7250.0,0.96,5768,77.03948712348938
273,7250.0,0.965,6605,72.40069818496704
274,7250.0,0.97,5524,77.25199317932129
275,7250.0,0.975,4619,69.2626359462738
